question_id,question_index,task,n,mean_reward,completed,errors,nonzero,replaced_rows
DBEVAL-V0-073,73,DragonTFBind,7,0.5297437230451086,7,0,6,7
DBEVAL-V0-074,74,DragonTFBind,7,0.47447387170423766,7,0,6,7
DBEVAL-V0-075,75,DragonTFBind,7,0.2580423493897295,7,0,6,7
DBEVAL-V0-076,76,DragonTFBind,7,0.3090324309180887,7,0,4,7
DBEVAL-V0-077,77,DragonTFBind,7,0.6473525254727568,7,0,6,7
DBEVAL-V0-078,78,DragonTFBind,7,0.0869392911120913,7,0,3,7
DBEVAL-V0-079,79,DragonTFBind,7,0.05324567665438608,6,1,2,7
DBEVAL-V0-080,80,DragonTFBind,7,0.46351520142682573,7,0,5,7
DBEVAL-V0-081,81,RNAFold,7,0.27957524473203915,7,0,3,0
DBEVAL-V0-082,82,RNAFold,7,0.2202150239940938,7,0,3,0
DBEVAL-V0-083,83,RNAFold,7,0.04805793285055957,7,0,2,0
DBEVAL-V0-084,84,RNAFold,7,0.0112781954887218,7,0,1,1
DBEVAL-V0-085,85,RNAFold,7,0.019047619047619042,7,0,1,0
DBEVAL-V0-086,86,RNAFold,7,0.0,7,0,0,0
DBEVAL-V0-087,87,RNAFold,7,0.03571428571428571,6,1,1,1
DBEVAL-V0-088,88,RNAFold,7,0.1,6,1,1,1
DBEVAL-V0-089,89,RNAFold,7,0.0,6,1,0,1
DBEVAL-V0-090,90,RNAFold,7,0.07142857142857142,6,1,1,1
DBEVAL-V0-091,91,RNAFold,7,0.0,7,0,0,0
DBEVAL-V0-092,92,RNAFold,7,0.0,7,0,0,0
DBEVAL-V0-093,93,RNAFold,7,0.0,7,0,0,0
DBEVAL-V0-094,94,RNAFold,7,0.0,7,0,0,1
DBEVAL-V0-095,95,RNAFold,7,0.18946135831381733,7,0,2,1
DBEVAL-V0-096,96,RNAFold,7,0.21361507345113906,7,0,3,0
DBEVAL-V0-097,97,RNAFold,7,0.0,7,0,0,1
DBEVAL-V0-098,98,RNAFold,7,0.0,7,0,0,0
DBEVAL-V0-099,99,RNAFold,7,0.026272577996715927,7,0,1,0
DBEVAL-V0-100,100,RNAFold,7,0.02734877734877734,7,0,2,0
