question_id,task,question_index,mean_reward,max_reward,min_reward,std_reward,models_nonzero
DBEVAL-V0-027,AnolePromoterExpression,27,0.09523809523809523,0.6666666666666666,0.0,0.25197631533948484,1
DBEVAL-V0-028,AnolePromoterExpression,28,0.17619047619047618,0.7999999999999999,0.0,0.28607450836910364,4
DBEVAL-V0-029,AnolePromoterExpression,29,0.15952380952380954,0.7333333333333333,0.0,0.2654236904455506,4
DBEVAL-V0-030,AnolePromoterExpression,30,0.0,0.0,0.0,0.0,0
DBEVAL-V0-031,AnolePromoterExpression,31,0.16666666666666666,0.5499999999999999,0.0,0.19999999999999996,4
DBEVAL-V0-032,AnolePromoterExpression,32,0.27619047619047615,0.4833333333333333,0.0,0.19599157740244452,6
DBEVAL-V0-033,AnolePromoterExpression,33,0.24999999999999997,0.7499999999999999,0.0,0.322892024149342,3
DBEVAL-V0-034,AnolePromoterExpression,34,0.09999999999999999,0.6,0.0,0.22256917360011252,3
DBEVAL-V0-035,AnolePromoterExpression,35,0.09523809523809522,0.49999999999999994,0.0,0.18071726580138975,5
DBEVAL-V0-036,AnolePromoterExpression,36,0.07857142857142854,0.5333333333333332,0.0,0.20062732304280675,2
DBEVAL-V0-037,AnolePromoterExpression,37,0.011904761904761904,0.08333333333333333,0.0,0.031497039417435604,1
DBEVAL-V0-038,AnolePromoterExpression,38,0.03809523809523809,0.21666666666666665,0.0,0.08091735937126869,2
DBEVAL-V0-039,AnolePromoterExpression,39,0.009523809523809521,0.06666666666666665,0.0,0.025197631533948477,1
DBEVAL-V0-040,AnolePromoterExpression,40,0.1619047619047619,0.8333333333333333,0.0,0.30455101830616615,3
DBEVAL-V0-041,KomodoProteinFold,41,0.1178031937850669,0.21797583081570998,0.0,0.09932892102770488,6
DBEVAL-V0-042,KomodoProteinFold,42,0.11981865284974093,0.2748272884283247,0.0,0.09649735831129402,6
DBEVAL-V0-043,KomodoProteinFold,43,0.10198412698412698,0.2835648148148148,0.0,0.11133135138889318,5
DBEVAL-V0-044,KomodoProteinFold,44,0.1910734193342889,0.4124860646599777,0.0,0.13279892656735728,6
DBEVAL-V0-045,KomodoProteinFold,45,0.14020223474004986,0.34502262443438914,0.0,0.13976740407634727,6
DBEVAL-V0-046,KomodoProteinFold,46,0.05863078064462946,0.11482977495672245,0.0,0.05495743512249876,5
DBEVAL-V0-047,KomodoProteinFold,47,0.12005068102629078,0.5013858093126385,0.0,0.1834371471241501,4
DBEVAL-V0-048,KomodoProteinFold,48,0.1647984011122697,0.5477493917274939,0.0,0.1838891580384187,5
DBEVAL-V0-049,KomodoProteinFold,49,0.09203637976929903,0.256055900621118,0.0,0.08635628733144071,6
DBEVAL-V0-050,KomodoProteinFold,50,0.32792638967937776,0.7314077025232404,0.0,0.2924009262951179,6
DBEVAL-V0-051,KomodoProteinFold,51,0.09884477709079076,0.21611617312072892,0.0,0.08075330622715583,6
DBEVAL-V0-052,KomodoProteinFold,52,0.13259073987901351,0.2880700325732899,0.0,0.10613778504891846,5
DBEVAL-V0-053,KomodoProteinFold,53,0.14391310906622418,0.5533262935586061,0.0,0.1883499359902931,6
DBEVAL-V0-054,KomodoProteinFold,54,0.07852332852332852,0.2032828282828283,0.0,0.09778905746009071,4
DBEVAL-V0-055,KomodoProteinFold,55,0.10488721804511278,0.27518796992481204,0.0,0.11812924025205986,4
DBEVAL-V0-056,KomodoProteinFold,56,0.2505175983436853,0.9873188405797102,0.0,0.3406386690373544,5
DBEVAL-V0-057,KomodoProteinFold,57,0.08562130824764821,0.18702143950995406,0.0,0.06864096517772521,5
DBEVAL-V0-058,KomodoProteinFold,58,0.21286972938955318,0.6938325991189427,0.0,0.23332759105881587,5
DBEVAL-V0-059,KomodoProteinFold,59,0.1497671623854589,0.5391692954784437,0.0,0.18721075975542678,5
DBEVAL-V0-060,KomodoProteinFold,60,0.09996318114874815,0.17286450662739322,0.0,0.0719016328082929,6
DBEVAL-V0-061,DragonTFBind,61,0.3157703899920804,0.8191500733197463,0.0,0.33121527765761904,5
DBEVAL-V0-062,DragonTFBind,62,0.7913458416881657,0.9284766908852593,0.6141827746434741,0.11538621435841627,7
DBEVAL-V0-063,DragonTFBind,63,0.6561867415266417,0.812776759390954,0.0,0.29360085862121654,6
DBEVAL-V0-064,DragonTFBind,64,0.38748336048083115,0.9066928292470475,0.0,0.4068458938403772,5
DBEVAL-V0-065,DragonTFBind,65,0.7297529685167603,0.8876253645985946,0.0,0.3230196354829377,6
DBEVAL-V0-066,DragonTFBind,66,0.6443565183757369,0.8952737857857515,0.0,0.32027237442561995,6
DBEVAL-V0-067,DragonTFBind,67,0.6384179692133463,0.8316561813093608,0.0,0.29086914133749187,6
DBEVAL-V0-068,DragonTFBind,68,0.7780626022066014,0.9271009271013907,0.0,0.34346911904926153,6
DBEVAL-V0-069,DragonTFBind,69,0.2840673100498139,0.9254519912314692,0.0,0.40847740619270534,5
DBEVAL-V0-070,DragonTFBind,70,0.4369649774020651,0.8210653934707496,0.006465081838352359,0.2995803190510839,7
DBEVAL-V0-071,DragonTFBind,71,0.7482456627562206,0.8902188551882028,0.5565218055378429,0.1429319582293657,7
DBEVAL-V0-072,DragonTFBind,72,0.25287983281564064,0.9244162777371754,0.0,0.38248899514131696,4
DBEVAL-V0-073,DragonTFBind,73,0.6576684797194983,0.9244162777371754,0.2899235880237521,0.2122490145534195,7
DBEVAL-V0-074,DragonTFBind,74,0.49410287444814366,0.8691745052782042,0.0,0.36685107876964956,6
DBEVAL-V0-075,DragonTFBind,75,0.5070471327507778,0.8986463755309779,0.0,0.4186168720738727,5
DBEVAL-V0-076,DragonTFBind,76,0.5975716444129794,0.8636419272102982,0.0,0.2952722644340945,6
DBEVAL-V0-077,DragonTFBind,77,0.7219468881799299,0.8980265101338745,0.14739409645420515,0.2682805370084328,7
DBEVAL-V0-078,DragonTFBind,78,0.09974697693457925,0.3814398284627892,0.0,0.14383207161685416,4
DBEVAL-V0-079,DragonTFBind,79,0.2013748583828863,0.7046939203804071,0.0,0.3193892172411622,3
DBEVAL-V0-080,DragonTFBind,80,0.6474317669550006,0.8857162118542732,0.29092868272585615,0.2704905710504859,7
DBEVAL-V0-081,RNAFold,81,0.27957524473203915,1.0,0.0,0.42257843843717435,3
DBEVAL-V0-082,RNAFold,82,0.2202150239940938,0.6875000000000001,0.0,0.2888948405584938,3
DBEVAL-V0-083,RNAFold,83,0.04805793285055958,0.1935483870967742,0.0,0.0833688461436951,2
DBEVAL-V0-084,RNAFold,84,0.0,0.0,0.0,0.0,0
DBEVAL-V0-085,RNAFold,85,0.019047619047619042,0.1333333333333333,0.0,0.050395263067896955,1
DBEVAL-V0-086,RNAFold,86,0.0,0.0,0.0,0.0,0
DBEVAL-V0-087,RNAFold,87,0.03571428571428571,0.25,0.0,0.09449111825230681,1
DBEVAL-V0-088,RNAFold,88,0.1,0.7000000000000001,0.0,0.2645751311064591,1
DBEVAL-V0-089,RNAFold,89,0.0,0.0,0.0,0.0,0
DBEVAL-V0-090,RNAFold,90,0.07142857142857142,0.5,0.0,0.18898223650461363,1
DBEVAL-V0-091,RNAFold,91,0.0,0.0,0.0,0.0,0
DBEVAL-V0-092,RNAFold,92,0.0,0.0,0.0,0.0,0
DBEVAL-V0-093,RNAFold,93,0.0,0.0,0.0,0.0,0
DBEVAL-V0-094,RNAFold,94,0.0,0.0,0.0,0.0,0
DBEVAL-V0-095,RNAFold,95,0.1285714285714286,0.9,0.0,0.3401680257083045,1
DBEVAL-V0-096,RNAFold,96,0.21361507345113903,0.9180327868852459,0.0,0.3398460039915313,3
DBEVAL-V0-097,RNAFold,97,0.0,0.0,0.0,0.0,0
DBEVAL-V0-098,RNAFold,98,0.0,0.0,0.0,0.0,0
DBEVAL-V0-099,RNAFold,99,0.02627257799671593,0.18390804597701152,0.0,0.0695107076798579,1
DBEVAL-V0-100,RNAFold,100,0.02734877734877735,0.1081081081081081,0.0,0.047251310609420935,2
